Date,close,high,low,open,volume
20110214,164.8400,164.8400,162.5200,164.1800,3718000
20110222,162.2800,164.2600,159.0300,163.5700,5358325
20110228,161.8300,164.3100,159.4100,162.3600,4307460
20110307,162.4300,167.7200,158.8500,161.6000,6219160
20110314,155.8900,161.9800,151.7100,161.1600,8359600
20110321,162.1800,162.7400,157.0700,157.6400,5074360
20110328,164.2700,164.4200,161.1200,161.5400,3813260
20110404,164.0500,164.7500,163.1600,164.4200,3520540
20110411,166.2100,166.3400,162.3000,163.4400,4433600
20110418,168.2800,168.4500,162.1900,164.6400,7439500
20110425,170.5800,173.0000,167.2300,167.6500,5371780
20110502,168.8900,173.5400,167.5000,172.1100,5893120
20110509,169.9200,172.7700,167.8200,168.3900,4699740
20110516,170.1600,171.4100,166.5300,169.8100,5199580
20110523,167.5000,168.6900,165.9000,168.5800,4543720
20110531,165.0500,169.8900,164.1300,168.4400,5835650
20110606,163.1800,165.9600,162.8700,164.7600,4128120
20110613,164.4400,165.1000,161.5200,164.4400,5877120
20110620,165.0700,166.8100,163.5900,163.7000,4595600
20110627,174.5400,174.6500,165.2100,165.7400,4680140
20110705,176.4900,177.7700,173.5200,173.5200,5194475
20110711,175.5400,176.3200,173.8400,174.9000,4767660
20110718,185.1800,185.6300,173.5800,174.7300,7500180
20110725,181.8500,184.9600,179.7300,183.8900,5258880
20110801,172.9800,183.6900,166.5200,182.6000,8245840
20110808,168.2000,172.6100,161.8500,168.8300,11335740
20110815,157.5400,174.0000,157.1300,171.3200,9502340
20110822,169.1400,169.3300,157.6200,161.3500,6757840
20110829,166.9800,173.7200,166.0000,170.5800,5257660
20110906,161.3700,169.5800,160.8100,163.0600,6332225
20110912,172.9900,172.9900,158.7600,160.0400,6692840
20110919,169.3400,177.6700,165.7600,169.5000,6358100
20110926,174.8700,180.9100,169.8600,170.9600,7373680
20111003,182.3900,183.7200,168.8800,174.3600,7623560
20111010,190.5300,190.5300,182.9000,183.0000,5244180
20111017,181.6300,190.1600,176.1700,189.7100,9359200
20111024,187.4500,188.0700,179.0300,181.5100,5743800
20111031,186.3800,187.7800,180.7400,185.5900,4583780
20111107,187.3800,187.8800,181.1600,186.2200,4180620
20111114,185.2400,189.9700,183.3900,189.1700,5104420
20111121,177.0600,183.9600,177.0600,183.3700,4089350
20111128,189.6600,191.3300,180.6700,182.7100,5168720
20111205,194.5600,194.9000,190.3200,191.1800,4828580
20111212,183.5700,194.3000,181.9100,193.6400,6037220
20111219,184.7500,187.3300,179.0400,184.5100,5433360
20111227,183.8800,186.4800,183.3400,184.9700,3029925
20120103,182.5400,188.7100,182.3100,186.7300,4838225
20120109,179.1600,183.7200,177.3500,182.2000,5326640
20120117,188.5200,188.9700,179.3200,180.3600,8005225
20120123,190.4600,192.7900,187.6700,187.9100,4564440
20120130,193.6400,194.8100,188.2200,189.3900,4540720
20120206,192.4200,194.4600,191.2800,192.4800,3628820
20120213,193.4200,193.8600,190.8300,193.3100,3429960
20120221,197.7600,199.2300,192.4600,193.7300,4488825
20120227,198.8100,199.1700,196.1000,196.7800,3866120
20120305,200.6200,201.1900,196.8100,198.3600,4364720
20120312,206.0100,207.5200,200.2300,200.9300,5169220
20120319,205.4800,206.5300,203.7000,205.7100,3426440
20120326,208.6500,209.1200,206.0200,206.4500,3201460
20120402,205.4700,210.6900,204.4600,208.9600,3923100
20120409,202.8000,206.1700,202.1700,204.4000,3504520
20120416,199.6000,207.6400,197.5200,204.7400,6113340
20120423,206.8100,208.1700,196.7900,197.8900,4009620
20120430,204.9900,208.9300,204.4000,206.7100,2939920
20120507,201.1700,204.7700,199.0600,203.9600,3443880
20120514,195.8800,201.4700,195.1600,199.9200,4476200
20120521,194.3000,198.2600,193.2000,195.9800,3594000
20120529,189.0800,198.0800,188.6000,195.2200,5428725
20120604,195.1400,195.8300,187.0000,188.3400,3600520
20120611,199.1000,199.2700,192.1400,196.6000,3903740
20120618,193.7000,199.9900,193.1900,197.5700,4638860
20120625,195.5800,195.8100,188.9000,192.4800,3727420
20120702,191.4100,197.2000,189.7400,196.3600,2980125
20120709,186.0100,191.1400,181.8500,190.7600,4599760
20120716,192.4500,196.8500,183.2000,185.5800,6301520
20120723,196.3900,197.4100,188.2000,189.7800,3759120
20120730,198.5200,198.9500,193.0200,196.3200,2988800
20120806,199.2900,200.8800,197.2400,198.7600,2475220
20120813,201.2200,202.0000,197.7200,198.8800,2474740
20120820,197.7700,201.1300,194.2000,200.6900,2828060
20120827,194.8500,198.3000,193.1800,197.9600,2622720
20120904,199.5000,199.5000,193.2500,196.6100,3793075
20120910,206.8100,207.6500,198.7300,199.3900,3867860
20120917,205.9800,207.9900,205.3000,205.5500,4973480
20120924,207.4500,208.3200,203.9000,205.0200,3592480
20121001,210.5900,211.7900,207.9400,208.0100,3557220
20121008,207.8000,210.7400,205.0500,210.0200,3041900
20121015,193.3600,211.0000,193.1800,208.8800,7456620
20121022,193.2700,194.6800,190.5600,193.7100,3964800
20121031,193.4300,198.0000,193.2900,194.8000,4690400
20121105,189.6400,196.7500,188.8800,192.3600,3595440
20121112,186.9400,190.8800,184.7800,190.0300,3790200
20121119,193.4900,193.4900,188.2500,188.6200,3956575
20121126,190.0700,193.3700,189.2700,192.4500,4223820
20121203,191.9500,192.2000,186.9400,190.7600,3770060
20121210,191.7600,194.8000,191.2600,192.1700,3854900
20121217,193.4200,196.4500,191.5700,191.7600,4919720
20121224,189.8300,193.8300,189.8300,193.0500,2977975
20121231,193.9900,196.3500,188.8400,189.2300,3985975
20130107,194.4500,195.0000,191.2800,193.4000,3317940
20130114,194.4700,195.0000,190.3900,192.8200,3949680
20130122,204.9700,208.5800,194.0100,194.3600,6877225
20130128,205.1800,206.2200,202.9600,204.8500,3180260
20130204,201.6800,205.0200,198.6800,204.1900,3283980
20130211,200.9800,201.9500,199.0200,200.9800,2899660
20130219,201.0900,201.8900,198.1100,200.6000,3436125
20130225,202.9100,203.1200,197.5100,201.6700,3883800
20130304,210.3800,210.7400,202.5500,202.5900,3736180
20130311,214.9200,215.9000,209.0400,210.0400,4686600
20130318,212.0800,215.8200,210.1100,212.9000,3617100
20130325,213.3000,213.4400,209.7400,212.5400,3129025
20130401,209.4100,214.8900,206.3400,212.8000,3249520
20130408,211.3800,213.0900,207.3300,209.0700,3054740
20130415,190.0000,212.0000,189.7600,210.4400,7139280
20130422,194.3100,195.1700,187.6800,191.1500,5595320
20130429,204.5100,205.3200,194.6500,194.7800,5361840
20130506,204.4700,205.0000,201.5200,203.7900,3740140
20130513,208.4400,209.5000,202.0400,204.1800,4317460
20130520,205.7200,210.1500,204.4200,208.0200,4051820
20130528,208.0200,211.9800,206.0400,207.4400,4199900
20130603,206.3500,210.0500,201.4700,208.2500,3553700
20130610,202.2000,206.9800,200.3400,206.9700,2916100
20130617,195.4600,206.0900,193.5400,203.4400,4554680
20130624,191.1100,196.9000,188.4100,193.9900,5018520
20130701,194.9300,195.1600,190.2600,192.1500,3094525
20130708,192.0700,195.7800,190.7800,195.6000,4143180
20130715,193.5400,200.9400,191.6800,192.4200,6335880
20130722,197.3500,197.8300,193.2800,193.4000,2943820
20130729,195.1600,197.8300,193.2200,196.8300,3067720
20130805,187.8200,195.8800,186.7900,195.1600,4025660
20130812,185.3400,189.9900,185.3400,186.9700,3316100
20130819,185.4200,186.5700,183.1700,185.3000,2912940
20130826,182.2700,187.0000,181.1000,185.2700,3010440
20130903,183.0300,185.0000,182.3100,183.6300,2964050
20130909,192.1700,193.1000,183.3100,183.6800,3638980
20130916,190.0200,194.8900,190.0200,193.7000,4475820
20130923,186.9200,192.4100,186.4500,190.0600,3015940
20130930,184.1000,186.7400,183.0000,185.5600,3270380
20131007,186.1600,186.2300,178.7100,181.8500,4171940
20131014,173.7800,186.9900,172.5700,185.4100,9132620
20131021,176.8500,179.1000,172.6300,174.4200,5972300
20131028,179.2300,182.3200,176.2000,177.0400,5170720
20131104,179.9900,181.3900,177.3500,179.9000,5127060
20131111,183.1900,184.0500,179.6600,180.1900,5136560
20131118,181.3000,186.2400,179.9200,183.5200,5127480
