uri:/instrument/1.0/ibm/chartdata;type=quote;range=5y/csv
ticker:ibm
Company-Name:International Business Machines
Exchange-Name:NYQ
unit:WEEK
timestamp:
first-trade:19620102
last-trade:20140731
currency:USD
previous_close_price:117.9300
Date:20090803,20140728
labels:20090803,20091005,20100104,20100405,20100706,20101004,20110103,20110404,20110705,20111003,20120103,20120402,20120702,20121001,20130107,20130401,20130701,20131007,20140106,20140407,20140707
values:Date,close,high,low,open,volume
close:117.4600,214.9200
high:118.9300,215.9000
low:115.1500,210.1100
open:116.6900,212.9000
volume:2474740,12202725
20131014,173.7800,186.9900,172.5700,185.4100,9132620
20131021,176.8500,179.1000,172.6300,174.4200,5972300
20131028,179.2300,182.3200,176.2000,177.0400,5170720
20131104,179.9900,181.3900,177.3500,179.9000,5127060
20131111,183.1900,184.0500,179.6600,180.1900,5136560
20131118,181.3000,186.2400,179.9200,183.5200,5127480
20131125,179.6800,180.7600,177.3100,180.2500,5096225
20131202,177.6700,179.5900,175.1600,179.4600,4963220
20131209,172.8000,178.1500,172.7300,177.9900,4374160
20131216,180.0200,182.0000,172.7300,173.2200,6453420
20131223,185.0800,186.5000,180.6100,181.0500,3100200
20131230,186.6400,187.7900,184.6700,185.3200,3812000
20140106,187.2600,190.3500,185.3000,187.1500,4589500
20140113,190.0900,190.8100,183.8600,186.2600,5527060
20140121,179.6400,190.3900,179.6400,190.2300,9684225
20140127,176.6800,179.6500,175.3400,179.6100,5111980
20140203,177.2500,177.5600,172.1900,176.0200,5046800
20140210,183.6900,184.4300,176.2500,176.9700,4262520
20140218,182.7900,185.7100,182.3200,183.1800,4943550
20140224,185.1700,186.1200,182.8200,182.8200,4146800
20140303,187.6800,188.9200,182.8200,183.3300,4020680
20140310,182.2100,188.4500,182.2100,187.5500,4811440
20140317,186.6700,188.7000,182.6600,182.6600,6164220
20140324,190.4500,195.6300,187.3700,187.4300,7093000
20140331,191.7700,195.1300,191.2800,191.6400,5807300
20140407,195.1900,199.2100,191.5700,191.7200,6119700
20140414,190.0100,198.7100,187.0100,196.2400,7641300
20140421,189.6300,193.0000,189.1100,189.8000,4462560
20140428,191.4400,196.8600,190.5800,191.1400,4239060
20140505,190.0800,191.4900,186.9300,191.0500,2785060
20140512,187.0600,193.0300,185.9300,191.1200,3881440
20140519,185.9400,187.1600,184.7000,186.6100,2813220
20140527,184.3600,185.6500,182.3300,184.8000,3973950
20140602,186.3700,187.6500,183.9200,184.7600,2848660
20140609,182.5600,187.6400,180.9100,186.2200,3628780
20140616,181.5500,184.4700,181.2400,182.4000,4830760
20140623,181.7100,183.0000,179.2700,181.9200,3540780
20140630,188.5300,188.9900,180.2600,181.3300,4595575
20140707,188.0000,188.9000,186.2100,187.6100,2996740
20140714,192.5000,195.9500,188.2100,188.5500,6838260
20140721,194.4000,195.9000,189.2500,191.3000,3894360
20140728,191.6700,196.4000,191.5400,194.3000,3664450
